,model,scaler,R2,RMSE,duration,not null gt,exclude,columns
0,XGBoost,quantile,55.53445979283891,0.21939122211566445,1.0,20,sat geometry,37
1,XGBoost,quantile,56.84837428124574,0.21612551544601027,0.0,20,all sat data,7
2,XGBoost,quantile,55.43323588738478,0.21964079753859408,2.0,20,nothing,68
3,XGBoost,quantile,56.453713976376044,0.21711159673165642,1.0,80,sat geometry,27
4,XGBoost,quantile,56.84837428124574,0.21612551544601027,0.0,80,all sat data,7
5,XGBoost,quantile,55.373842260588646,0.21978710522317127,1.0,80,nothing,50
6,XGBoost,quantile,57.34096599975087,0.21488839855166603,1.0,90,sat geometry,24
7,XGBoost,quantile,56.84837428124574,0.21612551544601027,0.0,90,all sat data,7
8,XGBoost,quantile,59.414923608338235,0.20959969426355668,1.0,90,nothing,42
9,XGBoost,robust,56.95577538248256,0.21585638793022077,1.0,20,sat geometry,37
10,XGBoost,robust,56.86615668841056,0.21608097914091742,0.0,20,all sat data,7
11,XGBoost,robust,57.81538139205315,0.21369016009707353,1.0,20,nothing,68
12,XGBoost,robust,57.53355529271259,0.21440278019367948,1.0,80,sat geometry,27
13,XGBoost,robust,56.86615668841056,0.21608097914091742,0.0,80,all sat data,7
14,XGBoost,robust,57.34797180711344,0.21487075248237486,1.0,80,nothing,50
15,XGBoost,robust,58.05758600367267,0.21307582187598936,1.0,90,sat geometry,24
16,XGBoost,robust,56.86615668841056,0.21608097914091742,0.0,90,all sat data,7
17,XGBoost,robust,57.34256430372815,0.2148843729073065,1.0,90,nothing,42
18,XGBoost,power,55.580491682868406,0.2192776329452432,1.0,20,sat geometry,37
19,XGBoost,power,56.375679324981974,0.21730604091983519,0.0,20,all sat data,7
20,XGBoost,power,56.96853541772171,0.21582439131168274,2.0,20,nothing,68
21,XGBoost,power,56.42018908258506,0.21719515429219755,1.0,80,sat geometry,27
22,XGBoost,power,56.375679324981974,0.21730604091983519,0.0,80,all sat data,7
23,XGBoost,power,56.314586263129755,0.21745814926715948,1.0,80,nothing,50
24,XGBoost,power,58.70905541394773,0.21141454849055547,0.0,90,sat geometry,24
25,XGBoost,power,56.375679324981974,0.21730604091983519,0.0,90,all sat data,7
26,XGBoost,power,58.66140359235894,0.21153650481250835,1.0,90,nothing,42
27,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,1.0,20,sat geometry,37
28,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,0.0,20,all sat data,7
29,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,2.0,20,nothing,68
30,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,1.0,80,sat geometry,27
31,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,0.0,80,all sat data,7
32,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,1.0,80,nothing,50
33,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,0.0,90,sat geometry,24
34,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,0.0,90,all sat data,7
35,Elastic_Net,quantile,-0.0012608603577879407,0.329010833830197,1.0,90,nothing,42
36,Elastic_Net,robust,-0.0012608603577879407,0.329010833830197,1.0,20,sat geometry,37
